index,year,TOT_REG_CD,num,population
522,2023,31150530030302,to_in_007,180
523,2023,31150530030401,to_in_007,155
524,2023,31150530030401,to_in_001,300
525,2023,31150530030401,to_in_008,145
526,2023,31150540010001,to_in_001,185
527,2023,31150540010001,to_in_007,97
528,2023,31150540010001,to_in_008,88
529,2023,31150540010101,to_in_007,269
530,2023,31150540010101,to_in_008,278
531,2023,31150540010101,to_in_001,547
532,2023,31150540010102,to_in_001,609
533,2023,31150540010102,to_in_007,297
534,2023,31150540010102,to_in_008,312
535,2023,31150540010103,to_in_008,203
536,2023,31150540010103,to_in_001,393
537,2023,31150540010103,to_in_007,190
538,2023,31150540010104,to_in_007,340
539,2023,31150540010104,to_in_008,347
540,2023,31150540010104,to_in_001,687
541,2023,31150540010105,to_in_008,280
542,2023,31150540010105,to_in_001,569
543,2023,31150540010105,to_in_007,289
544,2023,31150540010106,to_in_008,215
545,2023,31150540010106,to_in_007,218
546,2023,31150540010106,to_in_001,433
547,2023,31150540010107,to_in_001,422
548,2023,31150540010107,to_in_007,220
549,2023,31150540010107,to_in_008,202
550,2023,31150540010201,to_in_008,229
551,2023,31150540010201,to_in_007,227
552,2023,31150540010201,to_in_001,456
553,2023,31150540010202,to_in_007,260
554,2023,31150540010202,to_in_008,281
555,2023,31150540010202,to_in_001,541
556,2023,31150540010203,to_in_007,253
557,2023,31150540010203,to_in_001,502
558,2023,31150540010203,to_in_008,249
559,2023,31150540010204,to_in_008,243
560,2023,31150540010204,to_in_007,237
561,2023,31150540010204,to_in_001,480
562,2023,31150540010205,to_in_008,213
563,2023,31150540010205,to_in_007,187
564,2023,31150540010205,to_in_001,400
565,2023,31150540010206,to_in_007,245
566,2023,31150540010206,to_in_008,247
567,2023,31150540010206,to_in_001,492
568,2023,31150540010207,to_in_008,230
569,2023,31150540010207,to_in_007,215
570,2023,31150540010207,to_in_001,445
571,2023,31150540010208,to_in_008,262
572,2023,31150540010208,to_in_001,504
573,2023,31150540010208,to_in_007,242
574,2023,31150540020001,to_in_008,33
575,2023,31150540020001,to_in_001,60
576,2023,31150540020001,to_in_007,27
577,2023,31150540020002,to_in_007,0
578,2023,31150540020002,to_in_001,0
579,2023,31150540020002,to_in_008,0
580,2023,31150540020101,to_in_001,575
581,2023,31150540020101,to_in_008,306
582,2023,31150540020101,to_in_007,269
583,2023,31150540020102,to_in_008,443
584,2023,31150540020102,to_in_007,365
585,2023,31150540020102,to_in_001,808
586,2023,31150540020201,to_in_001,506
587,2023,31150540020201,to_in_008,271
588,2023,31150540020201,to_in_007,235
589,2023,31150540020202,to_in_007,202
590,2023,31150540020202,to_in_008,250
591,2023,31150540020202,to_in_001,452
592,2023,31150540030001,to_in_007,276
593,2023,31150540030001,to_in_001,556
594,2023,31150540030001,to_in_008,280
595,2023,31150540030002,to_in_008,146
596,2023,31150540030002,to_in_001,253
597,2023,31150540030002,to_in_007,107
598,2023,31150540030101,to_in_008,194
599,2023,31150540030101,to_in_007,200
600,2023,31150540030101,to_in_001,394
601,2023,31150540030102,to_in_007,309
602,2023,31150540030102,to_in_001,616
603,2023,31150540030102,to_in_008,307
604,2023,31150540030103,to_in_008,292
605,2023,31150540030103,to_in_007,289
606,2023,31150540030103,to_in_001,581
607,2023,31150540030104,to_in_007,262
608,2023,31150540030104,to_in_008,269
609,2023,31150540030104,to_in_001,531
610,2023,31150540030105,to_in_007,175
611,2023,31150540030105,to_in_001,339
612,2023,31150540030105,to_in_008,164
613,2023,31150540030201,to_in_008,271
614,2023,31150540030201,to_in_007,255
615,2023,31150540030201,to_in_001,526
616,2023,31150540030202,to_in_001,410
617,2023,31150540030202,to_in_008,215
618,2023,31150540030202,to_in_007,195
619,2023,31150540030203,to_in_001,347
620,2023,31150540030203,to_in_008,175
621,2023,31150540030203,to_in_007,172
622,2023,31150540030204,to_in_007,251
623,2023,31150540030204,to_in_001,488
624,2023,31150540030204,to_in_008,237
625,2023,31150540030205,to_in_008,206
626,2023,31150540030205,to_in_007,205
627,2023,31150540030205,to_in_001,411
628,2023,31150540030206,to_in_008,256
629,2023,31150540030206,to_in_007,252
630,2023,31150540030206,to_in_001,508
631,2023,31150540030207,to_in_001,511
632,2023,31150540030207,to_in_008,257
633,2023,31150540030207,to_in_007,254
634,2023,31150540030208,to_in_007,319
635,2023,31150540030208,to_in_001,627
636,2023,31150540030208,to_in_008,308
637,2023,31150540030209,to_in_007,326
638,2023,31150540030209,to_in_008,310
639,2023,31150540030209,to_in_001,636
640,2023,31150540030301,to_in_007,249
641,2023,31150540030301,to_in_001,502
642,2023,31150540030301,to_in_008,253
643,2023,31150540030302,to_in_001,682
644,2023,31150540030302,to_in_007,345
645,2023,31150540030302,to_in_008,337
646,2023,31150540030303,to_in_008,263
647,2023,31150540030303,to_in_007,239
648,2023,31150540030303,to_in_001,502
649,2023,31150540030304,to_in_001,483
650,2023,31150540030304,to_in_008,243
651,2023,31150540030304,to_in_007,240
652,2023,31150540030305,to_in_001,504
653,2023,31150540030305,to_in_007,242
654,2023,31150540030305,to_in_008,262
655,2023,31150540030401,to_in_008,203
656,2023,31150540030401,to_in_007,197
657,2023,31150540030401,to_in_001,400
658,2023,31150540030402,to_in_008,325
659,2023,31150540030402,to_in_001,643
660,2023,31150540030402,to_in_007,318
661,2023,31150540030403,to_in_007,184
662,2023,31150540030403,to_in_001,386
663,2023,31150540030403,to_in_008,202
664,2023,31150540030404,to_in_008,338
665,2023,31150540030404,to_in_001,675
666,2023,31150540030404,to_in_007,337
667,2023,31150540030405,to_in_007,188
668,2023,31150540030405,to_in_001,388
669,2023,31150540030405,to_in_008,200
670,2023,31150540030501,to_in_008,267
671,2023,31150540030501,to_in_001,505
672,2023,31150540030501,to_in_007,238
673,2023,31150540030502,to_in_001,462
674,2023,31150540030502,to_in_007,235
675,2023,31150540030502,to_in_008,227
676,2023,31150540030503,to_in_008,186
677,2023,31150540030503,to_in_001,367
678,2023,31150540030503,to_in_007,181
679,2023,31150540030601,to_in_007,316
680,2023,31150540030601,to_in_001,668
681,2023,31150540030601,to_in_008,352
682,2023,31150540030801,to_in_001,389
683,2023,31150540030801,to_in_007,200
684,2023,31150540030801,to_in_008,189
685,2023,31150540030802,to_in_001,590
686,2023,31150540030802,to_in_007,297
687,2023,31150540030802,to_in_008,293
688,2023,31150540030901,to_in_001,672
689,2023,31150540030901,to_in_007,331
690,2023,31150540030901,to_in_008,341
691,2023,31150540030902,to_in_007,254
692,2023,31150540030902,to_in_001,528
693,2023,31150540030902,to_in_008,274
694,2023,31150540031001,to_in_007,331
695,2023,31150540031001,to_in_001,639
696,2023,31150540031001,to_in_008,308
697,2023,31150540031002,to_in_001,450
698,2023,31150540031002,to_in_007,217
699,2023,31150540031002,to_in_008,233
700,2023,31150540031101,to_in_001,611
701,2023,31150540031101,to_in_008,301
702,2023,31150540031101,to_in_007,310
703,2023,31150540031102,to_in_007,340
704,2023,31150540031102,to_in_001,666
705,2023,31150540031102,to_in_008,326
706,2023,31150540040001,to_in_007,267
707,2023,31150540040001,to_in_008,246
708,2023,31150540040001,to_in_001,513
709,2023,31150540040002,to_in_001,404
710,2023,31150540040002,to_in_008,207
711,2023,31150540040002,to_in_007,197
712,2023,31150540040003,to_in_007,296
713,2023,31150540040003,to_in_008,241
714,2023,31150540040003,to_in_001,537
715,2023,31150540040004,to_in_008,203
716,2023,31150540040004,to_in_001,430
717,2023,31150540040004,to_in_007,227
718,2023,31150540040005,to_in_007,222
719,2023,31150540040005,to_in_008,193
720,2023,31150540040005,to_in_001,415
721,2023,31150540040006,to_in_001,537
722,2023,31150540040006,to_in_007,310
723,2023,31150540040006,to_in_008,227
724,2023,31150540040007,to_in_001,413
725,2023,31150540040007,to_in_007,217
726,2023,31150540040007,to_in_008,196
727,2023,31150540040008,to_in_008,304
728,2023,31150540040008,to_in_007,298
729,2023,31150540040008,to_in_001,602
730,2023,31150540040009,to_in_007,242
731,2023,31150540040009,to_in_008,263
732,2023,31150540040009,to_in_001,505
733,2023,31150540040010,to_in_007,255
